CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
291600;2916005;ITANHÉM;-40,378352;-17,115408;19405;05/06/2020;4;0;0;20,61
291610;2916104;ITAPARICA;-38,656873;-12,892612;22228;05/06/2020;31;1;3,23;139,46
291620;2916203;ITAPÉ;-39,495903;-14,954378;8761;05/06/2020;8;2;25;91,31
291630;2916302;ITAPEBI;-39,653153;-15,91211;10259;05/06/2020;9;0;0;87,73
291640;2916401;ITAPETINGA;-40,057515;-15,29928;76147;05/06/2020;18;3;16,67;23,64
291650;2916500;ITAPICURU;-38,194311;-11,192021;35576;05/06/2020;29;0;0;81,52
291660;2916609;ITAPITANGA;-39,619958;-14,472907;10313;05/06/2020;7;0;0;67,88
291670;2916708;ITAQUARA;-39,898458;-13,448891;8319;05/06/2020;0;0;NA;0
291680;2916807;ITARANTIM;-40,049147;-15,697738;19747;05/06/2020;3;1;33,33;15,19
291685;2916856;ITATIM;-39,734692;-12,71284;14487;05/06/2020;14;1;7,14;96,64
291690;2916906;ITIRUÇU;-40,153071;-13,487525;12576;05/06/2020;0;0;NA;0
291700;2917003;ITIÚBA;-39,845358;-10,731374;36089;05/06/2020;8;1;12,5;22,17
291710;2917102;ITORORÓ;-40,007204;-15,048842;20382;05/06/2020;6;0;0;29,44
291720;2917201;ITUAÇU;-41,390007;-13,837101;18962;05/06/2020;1;0;0;5,27
291730;2917300;ITUBERÁ;-39,15295;-13,749335;28602;05/06/2020;6;0;0;20,98
291733;2917334;IUIÚ;-43,543207;-14,466472;10994;05/06/2020;0;0;NA;0
291735;2917359;JABORANDI;-45,442709;-14,033288;8385;05/06/2020;1;0;0;11,93
291740;2917409;JACARACI;-42,322286;-14,784849;14842;05/06/2020;1;0;0;6,74
291750;2917508;JACOBINA;-40,568546;-11,13492;80518;05/06/2020;42;1;2,38;52,16
291760;2917607;JAGUAQUARA;-39,957039;-13,55388;54423;05/06/2020;43;0;0;79,01
291770;2917706;JAGUARARI;-40,068348;-10,042621;33570;05/06/2020;35;0;0;104,26
291780;2917805;JAGUARIPE;-38,986515;-13,121259;18788;05/06/2020;7;0;0;37,26
291790;2917904;JANDAÍRA;-37,594356;-11,597778;10709;05/06/2020;3;1;33,33;28,01
291800;2918001;JEQUIÉ;-40,146131;-13,877607;155966;05/06/2020;498;15;3,01;319,3
291810;2918100;JEREMOABO;-38,552526;-9,940661;40463;05/06/2020;0;0;NA;0
291820;2918209;JIQUIRIÇÁ;-39,584656;-13,324538;14537;05/06/2020;1;0;0;6,88
